,Symbol,Name,ListedDate,InstitutionID,SecurityID,FullName,ShareType,BoardID,ShareType2
1278,1398,工商銀行,2006-10-27,105047,201000002336,中國工商銀行股份有限公司,H,P3401,2
1318,1456,國聯證券,2015-07-06,104493,201004158947,國聯證券股份有限公司,H,P3401,2
558,588,北京北辰實業股份,1997-05-14,103683,201000001744,北京北辰實業股份有限公司,H,P3401,2
568,598,中國外運,2003-02-13,103865,201000001753,中國外運股份有限公司,H,P3401,2
2082,2600,中國鋁業,2001-12-12,103002,201000002513,中國鋁業股份有限公司,H,P3401,2
2083,2601,中國太保,2009-12-23,104363,201000002514,中國太平洋保險(集團)股份有限公司,H,P3401,2
2086,2607,上海醫藥,2011-05-20,10188,201000002515,上海醫藥集團股份有限公司,H,P3401,2
1432,1618,中國中冶,2009-09-24,104152,201000002344,中國冶金科工股份有限公司,H,P3401,2
2094,2628,中國人壽,2003-12-18,103024,201000002519,中國人壽保險股份有限公司,H,P3401,2
1994,2333,長城汽車,2003-12-15,103105,201000002480,長城汽車股份有限公司,H,P3401,2
1465,1658,郵儲銀行,2016-09-28,10550,201004169880,中國郵政儲蓄銀行股份有限公司,H,P3401,2
2455,6886,HTSC,2015-06-01,105523,201004158294,華泰證券股份有限公司,H,P3401,2
533,564,鄭煤機,2012-12-05,105736,201000001722,鄭州煤礦機械集團股份有限公司,H,P3401,2
2118,2727,上海電氣,2005-04-28,103830,201000002529,上海電氣集團股份有限公司,H,P3401,2
691,728,中國電信,2002-11-15,102144,201000001873,中國電信股份有限公司,H,P3401,2
1561,1766,中國中車,2008-08-21,106058,201000002363,中國中車股份有限公司,H,P3401,2
2365,6178,光大證券,2016-08-18,104059,201004168649,光大證券股份有限公司,H,P3401,2
1590,1800,中國交通建設,2006-12-15,104851,201000002368,中國交通建設股份有限公司,H,P3401,2
2138,2883,中海油田服務,2002-11-20,104242,201000002540,中海油田服務股份有限公司,H,P3401,2
752,811,新華文軒,2007-05-30,103522,201000001924,新華文軒出版傳媒股份有限公司,H,P3401,2
2424,6818,中國光大銀行,2013-12-20,104453,201000069810,中國光大銀行股份有限公司,H,P3401,2
