,Symbol,ShortName,MarketLinkCode,ExchangeCode,ListedDate,SecurityID,InstitutionID,PYShortName,ENShortName,DelistedDate,AbsorbedDate,WhetherAandH,FirstAbsorbedDate,RemovedDate
4568,688180,君实生物,HKEXtoSSE,SSE,2020-07-15,201004189649,10149013,JSSW,,,2021-02-01,Y,2021-02-01,
4570,688185,康希诺,HKEXtoSSE,SSE,2020-08-13,201004190203,10416156,KXN,,,2021-02-01,Y,2021-02-01,
4572,688187,时代电气,HKEXtoSSE,SSE,2021-09-07,201004206225,102894,SDDQ,,,2021-09-23,Y,2021-09-23,
4591,688235,百济神州,HKEXtoSSE,SSE,2021-12-15,201004209524,10364994,BJSZ,,,2023-03-13,Y,2023-03-13,
4592,688236,春立医疗,HKEXtoSSE,SSE,2021-12-30,201004210105,10108319,CLYL,,,2022-01-04,Y,2022-01-04,
4625,688331,荣昌生物,HKEXtoSSE,SSE,2022-03-31,201004212143,10505905,RCSW,,,2022-04-19,Y,2022-04-19,
4627,688339,亿华通,HKEXtoSSE,SSE,2020-08-10,201004190143,10313778,YHT,,,2023-02-06,Y,2023-02-06,
4633,688366,昊海生科,HKEXtoSSE,SSE,2019-10-30,201004186643,10113765,HHSK,,,2021-02-01,Y,2021-02-01,
4638,688385,复旦微电,HKEXtoSSE,SSE,2021-08-04,201004205123,102833,FDWD,,,2021-08-18,Y,2021-08-18,
4647,688505,复旦张江,HKEXtoSSE,SSE,2020-06-19,201004189243,103875,FDZJ,,,2021-02-01,Y,2021-02-01,
4714,688981,中芯国际,HKEXtoSSE,SSE,2020-07-16,201004189811,103784,ZXGJ,,,2021-12-13,Y,2021-12-13,
